Number,Lemma,PoS,tikhonov_roots_raw,deterministic_roots,kuznetsova_homonym_candidates,roots
4651,водоросль,s,"вод,рос",,вод => вод-1|вод-2; рос => рос-1|рос-2,"вод-2,рос-2"
4652,водосбор,s,"вод,бор",,вод => вод-1|вод-2; бор => бор-1|бор-2|бор-3,"вод-2,бор-1"
4653,водосборный,a,"вод,бор",,вод => вод-1|вод-2; бор => бор-1|бор-2|бор-3,"вод-2,бор-1"
4654,водоснабжение,s,"вод,снабж",бж,вод => вод-1|вод-2,"бж,вод-2"
4656,водосточный,a,"вод,точ",,вод => вод-1|вод-2; точ => точ-1|точ-2|точ-3,"вод-2,точ-1"
4659,водохранилище,s,"вод,хран",хран,вод => вод-1|вод-2,"хран,вод-2"
4701,военторг,s,"воен,торг",во(j)-2,торг => торг-1|торг-2,"во(j)-2,торг-1"
4716,возбудимый,a,буд,,буд => буд-1|буд-2,буд-1
4779,воздуховод,s,"воздух,вод",дух,вод => вод-1|вод-2,"дух,вод-1"
4903,волейбол,s,"волей,бол",волейбол,бол => бол-1|бол-2,"волейбол,бол-2"
4905,волейбольный,a,"волей,боль",волейбол,боль => бол-1|бол-2,"волейбол,бол-2"
4906,волей-неволей,adv,"вол,вол",,вол => вол-1|вол-2; вол => вол-1|вол-2,"вол-1,вол-1"
4918,волновод,s,"волн,вод",,волн => волн-1|волн-2; вод => вод-1|вод-2,"волн-1,вод-1"
4920,волнообразный,a,"волн,образ",раз-1,волн => волн-1|волн-2,"раз-1,волн-1"
5095,восемнадцатилетний,a,"восем,дцат,лет","восем,дцат",лет => лет-1|лет-2,"восем,дцат,лет-1"
5191,востоковедение,s,"восток,вед",ток-1,вед => вед-1|вед-2,"ток-1,вед-1"
5229,восьмидесятилетний,a,"восьм,десят,лет","восьм,десят",лет => лет-1|лет-2,"восьм,десят,лет-1"
5231,восьмилетний,a,"восьм,лет",восьм,лет => лет-1|лет-2,"восьм,лет-1"
5393,вредоносный,a,"вред,нос",вред,нос => нос-1|нос-2,"вред,нос-2"
5494,всецело,adv,цел,,цел => цел-1|цел-2,цел-2
5624,всухомятку,adv,"сух,мят",сух,мят => мят-1|мят-2,"сух,мят-1"
5645,втемную,adv,тем,,тем => тем-1|тем-2,тем-2
5654,втихомолку,adv,"тих,мол",тих,мол => мол-1|мол-2|мол-3,"тих,мол-2"
5805,выводной,a,вод,,вод => вод-1|вод-2,вод-1
6006,выкорчевывать,v,корч,,корч => корч-1|корч-2,корч-2
6343,высокогорный,a,"высок,гор",выс,гор => гор-1|гор-2,"выс,гор-1"
6351,высокомерие,s,"высок,мер",выс,мер => мер-1|мер-2|мер-3,"выс,мер-1"
6353,высокомерный,a,"высок,мер",выс,мер => мер-1|мер-2|мер-3,"выс,мер-1"
6372,высокорослый,a,"высок,рос",выс,рос => рос-1|рос-2,"выс,рос-2"
6380,высокочастотный,a,"высок,част",выс,част => част-1|част-2,"выс,част-2"
6546,вышеизложенный,a,"выш,лож",выш,лож => лож-1|лож-2,"выш,лож-1"
6551,вышеприведенный,a,"выш,вед",выш,вед => вед-1|вед-2,"выш,вед-2"
6639,гаденыш,s,гад,,гад => гад-1|гад-2,гад-2
6676,газонокосилка,s,"газон,кос",газон,кос => кос-1|кос-2|кос-3|кос-4,"газон,кос-1"
6746,гамма-излучение,s,"гамм,луч",гамм,луч => луч-1|луч-2|луч-3|луч-4|луч-5,"гамм,луч-1"
6925,геологоразведка,s,"гео,лог,вед","гео,лог",вед => вед-1|вед-2,"гео,лог,вед-1"
6927,геолого-разведочный,a,"гео,лог,вед","гео,лог",вед => вед-1|вед-2,"гео,лог,вед-1"
7026,гигантомания,s,"гигант,ман",гигант,ман => ман-1|ман-2,"гигант,ман-1"
7055,гидросамолет,s,"гидр,сам,лет","гидр,сам",лет => лет-1|лет-2,"гидр,сам,лет-2"
7098,гипертоник,s,тон,,тон => тон-1|тон-2,тон-1
7099,гипертонический,a,тон,,тон => тон-1|тон-2,тон-1
7113,гипотония,s,"гипо,тон",гипо,тон => тон-1|тон-2,"гипо,тон-1"
7177,глазомер,s,"глаз,мер",глаз,мер => мер-1|мер-2|мер-3,"глаз,мер-1"
7500,горбоносый,a,"горб,нос",горб,нос => нос-1|нос-2,"горб,нос-1"
7520,горемыка,s,"гор,мык",мык,гор => гор-1|гор-2,"мык,гор-2"
7521,горемычный,a,"гор,мыч",,гор => гор-1|гор-2; мыч => мыч-1|мыч-2,"гор-2,мыч-1"
7539,горком,s,"гор,ком",ком,гор => гор-1|гор-2,"ком,гор-1"
7558,горнодобывающий,a,"гор,добы",бы,гор => гор-1|гор-2,"бы,гор-1"
7559,горнозаводский,a,"гор,завод",вод-1,гор => гор-1|гор-2,"вод-1,гор-1"
7560,горно-лесистый,a,"гор,лес",,гор => гор-1|гор-2; лес => лес-1|лес-2|лес-3,"гор-1,лес-1"
7561,горнолыжник,s,"гор,лыж",,гор => гор-1|гор-2; лыж => лыж-1|лыж-2,"гор-1,лыж-1"
7566,горнорудный,a,"гор,руд",руд,гор => гор-1|гор-2,"руд,гор-1"
7613,горюче-смазочный,a,"гор,маз",маз,гор => гор-1|гор-2,"маз,гор-2"
7628,горящий,a,гор,,гор => гор-1|гор-2,гор-2
7712,грабеж,s,"граб,еж",еж,граб => граб-1|граб-2,"еж,граб-1"
7730,градоначальник,s,"град,началь",ч-1,град => град-1|град-2,"ч-1,град-1"
7731,градообразующий,a,"град,образу",образу,град => град-1|град-2,"образу,град-1"
7732,градостроитель,s,"град,стро",стро(j),град => град-1|град-2,"стро(j),град-1"
7733,градостроительный,a,"град,стро",стро(j),град => град-1|град-2,"стро(j),град-1"
7734,градостроительство,s,"град,стро",стро(j),град => град-1|град-2,"стро(j),град-1"
7767,гранатомет,s,"гранат,мет",гранат,мет => мет-1|мет-2,"гранат,мет-1"
7768,гранатометчик,s,"гранат,мет",гранат,мет => мет-1|мет-2,"гранат,мет-1"
7800,графоман,s,"граф,ман",граф,ман => ман-1|ман-2,"граф,ман-1"
7801,графомания,s,"граф,ман",граф,ман => ман-1|ман-2,"граф,ман-1"
8035,губошлеп,s,"губ,шлеп",шлеп,губ => губ-1|губ-2|губ-3,"шлеп,губ-2"
8209,двадцатилетие,s,"дв,дцат,лет","дв,дцат",лет => лет-1|лет-2,"дв,дцат,лет-1"
8210,двадцатилетний,a,"дв,дцат,лет","дв,дцат",лет => лет-1|лет-2,"дв,дцат,лет-1"
8212,двадцатипятилетний,a,"дв,дцат,пят,лет","дв,дцат",пят => пят-1|пят-2; лет => лет-1|лет-2,"дв,дцат,пят-1,лет-1"
8270,двубортный,a,"дв,борт",дв,борт => борт-1|борт-2,"дв,борт-2"
8279,двуколка,s,"дв,кол",дв,кол => кол-1|кол-2|кол-3,"дв,кол-2"
8298,двухголовый,a,"дв,ух,голов","дв,голов",ух => ух-1|ух-2|ух-3|ух-4,"дв,голов,ух-1"
8299,двухдневный,a,"дв,ух,дн",дв,ух => ух-1|ух-2|ух-3|ух-4; дн => дн-1|дн-2,"дв,ух-1,дн-1"
8300,двухколесный,a,"дв,ух,колес","дв,кол-2",ух => ух-1|ух-2|ух-3|ух-4,"дв,кол-2,ух-1"
8301,двухкомнатный,a,"дв,ух,комнат","дв,комнат",ух => ух-1|ух-2|ух-3|ух-4,"дв,комнат,ух-1"
8302,двухконтурный,a,"дв,ух,контур","дв,контур",ух => ух-1|ух-2|ух-3|ух-4,"дв,контур,ух-1"
8303,двухлетний,a,"дв,ух,лет",дв,ух => ух-1|ух-2|ух-3|ух-4; лет => лет-1|лет-2,"дв,ух-1,лет-1"
8305,двухмерный,a,"дв,ух,мер",дв,ух => ух-1|ух-2|ух-3|ух-4; мер => мер-1|мер-2|мер-3,"дв,ух-1,мер-1"
8307,двухмесячный,a,"дв,ух,месяч","дв,месяч",ух => ух-1|ух-2|ух-3|ух-4,"дв,месяч,ух-1"
8308,двухметровый,a,"дв,ух,метр","дв,метр",ух => ух-1|ух-2|ух-3|ух-4,"дв,метр,ух-1"
8309,двухнедельный,a,"дв,ух,недель","дв,де(j)",ух => ух-1|ух-2|ух-3|ух-4,"дв,де(j),ух-1"
8311,двухслойный,a,"дв,ух,слой","дв,сло(j)",ух => ух-1|ух-2|ух-3|ух-4,"дв,сло(j),ух-1"
8313,двухсторонний,a,"дв,ух,сторон","дв,сторон",ух => ух-1|ух-2|ух-3|ух-4,"дв,сторон,ух-1"
8314,двухступенчатый,a,"дв,ух,ступен","дв,ступ-1",ух => ух-1|ух-2|ух-3|ух-4,"дв,ступ-1,ух-1"
8317,двухтомный,a,"дв,ух,том",дв,ух => ух-1|ух-2|ух-3|ух-4; том => том-1|том-2,"дв,ух-1,том-1"
8319,двухуровневый,a,"дв,ух,уровн","дв,уровн",ух => ух-1|ух-2|ух-3|ух-4,"дв,уровн,ух-1"
8320,двухфазный,a,"дв,ух,фаз","дв,фаз",ух => ух-1|ух-2|ух-3|ух-4,"дв,фаз,ух-1"
8321,двухцветный,a,"дв,ух,цвет","дв,цвет",ух => ух-1|ух-2|ух-3|ух-4,"дв,цвет,ух-1"
8322,двухчасовой,a,"дв,ух,час","дв,час",ух => ух-1|ух-2|ух-3|ух-4,"дв,час,ух-1"
8324,двухэтажный,a,"дв,ух,этаж","дв,этаж",ух => ух-1|ух-2|ух-3|ух-4,"дв,этаж,ух-1"
8376,девяностолетний,a,"девяност,лет",девяност,лет => лет-1|лет-2,"девяност,лет-1"
8379,девятилетний,a,"девят,лет",девят,лет => лет-1|лет-2,"девят,лет-1"
8621,деревообрабатывающий,a,"дерев,рабат",раб,дерев => дерев-1|дерев-2,"раб,дерев-2"
8622,деревообработка,s,"дерев,работ",раб,дерев => дерев-1|дерев-2,"раб,дерев-2"
8680,десятидневный,a,"десят,дн",десят,дн => дн-1|дн-2,"десят,дн-1"
8684,десятилетие,s,"десят,лет",десят,лет => лет-1|лет-2,"десят,лет-1"
8685,десятилетка,s,"десят,лет",десят,лет => лет-1|лет-2,"десят,лет-1"
8686,десятилетний,a,"десят,лет",десят,лет => лет-1|лет-2,"десят,лет-1"
8983,дисковод,s,"диск,вод",диск,вод => вод-1|вод-2,"диск,вод-1"
9090,длинноносый,a,"длин,нос",дл,нос => нос-1|нос-2,"дл,нос-1"
9146,доброволец,s,"добр,вол",добр,вол => вол-1|вол-2,"добр,вол-1"
9153,добродушие,s,"добр,душ",добр,душ => душ-1|душ-2,"добр,душ-1"
9155,добродушный,a,"добр,душ",добр,душ => душ-1|душ-2,"добр,душ-1"
9214,доводить,v,вод,,вод => вод-1|вод-2,вод-1
9368,долговечный,a,"долг,веч",,долг => долг-1|долг-2; веч => веч-1|веч-2,"долг-1,веч-1"
9373,долгожданный,a,"долг,жд",жд,долг => долг-1|долг-2,"жд,долг-1"
9377,долгоиграющий,a,"долг,игр",игр,долг => долг-1|долг-2,"игр,долг-1"
9378,долголетие,s,"долг,лет",,долг => долг-1|долг-2; лет => лет-1|лет-2,"долг-1,лет-1"
9379,долголетний,a,"долг,лет",,долг => долг-1|долг-2; лет => лет-1|лет-2,"долг-1,лет-1"
9381,долгосрочный,a,"долг,сроч",роч,долг => долг-1|долг-2,"роч,долг-1"
9382,долгострой,s,"долг,строй",стро(j),долг => долг-1|долг-2,"стро(j),долг-1"
9384,долготерпение,s,"долг,терп",терп,долг => долг-1|долг-2,"терп,долг-1"
9447,домосед,s,"дом,сед",дом,сед => сед-1|сед-2,"дом,сед-1"
9457,домочадец,s,"дом,чад",дом,чад => чад-1|чад-2,"дом,чад-2"
9538,допустимый,a,пуст,,пуст => пуст-1|пуст-2,пуст-1
9559,дорогостоящий,a,"дорог,сто",сто(j),дорог => дорог-1|дорог-2|дорог-3,"сто(j),дорог-1"
9567,дорожно-строительный,a,"дорож,стро",стро(j),дорож => дорож-1|дорож-2,"стро(j),дорож-2"
9568,дорожно-транспортный,a,"дорож,транспорт",транспорт,дорож => дорож-1|дорож-2,"транспорт,дорож-2"
9763,древнерусский,a,"древн,рус",древ-2,рус => рус-1|рус-2,"древ-2,рус-2"
9955,душевая,s,душ,,душ => душ-1|душ-2,душ-2
9957,душевнобольной,a,"душ,больн",бол-1,душ => душ-1|душ-2,"бол-1,душ-1"
9958,душевнобольной,s,"душ,больн",бол-1,душ => душ-1|душ-2,"бол-1,душ-1"
9963,душегубка,s,"душ,губ",,душ => душ-1|душ-2; губ => губ-1|губ-2|губ-3,"душ-1,губ-1"
9965,душераздирающий,a,"душ,дир",дир,душ => душ-1|душ-2,"дир,душ-1"
9968,душещипательный,a,"душ,щип",щип,душ => душ-1|душ-2,"щип,душ-1"
10088,единоборство,s,"един,бор",един,бор => бор-1|бор-2|бор-3,"един,бор-2"
10095,единодушие,s,"един,душ",един,душ => душ-1|душ-2,"един,душ-1"
10097,единодушный,a,"един,душ",един,душ => душ-1|душ-2,"един,душ-1"
10099,единокровный,a,"един,кров",един,кров => кров-1|кров-2,"един,кров-1"
10249,жалко,adv,жал,,жал => жал-1|жал-2,жал-1
10322,железнодорожный,a,"желез,дорож",желез-1,дорож => дорож-1|дорож-2,"желез-1,дорож-2"
10440,животновод,s,"живот,вод",жи,вод => вод-1|вод-2,"жи,вод-1"
10441,животноводство,s,"живот,вод",жи,вод => вод-1|вод-2,"жи,вод-1"
10442,животноводческий,a,"живот,вод",жи,вод => вод-1|вод-2,"жи,вод-1"
10454,жид,s,жид,,жид => жид-1|жид-2,жид-2
10462,жидовка,s,жид,,жид => жид-1|жид-2,жид-2
10463,жидовский,a,жид,,жид => жид-1|жид-2,жид-2
10972,заданность,s,да,,да => да-1|да-2|да-3,да-1
11170,закаленный,a,кал,,кал => кал-1|кал-2|кал-3,кал-1
11257,законодатель,s,"закон,да",кон-1,да => да-1|да-2|да-3,"кон-1,да-1"
11259,законодательный,a,"закон,да",кон-1,да => да-1|да-2|да-3,"кон-1,да-1"
11366,залетный,a,лет,,лет => лет-1|лет-2,лет-2
11386,залогодатель,s,"лог,да",лог,да => да-1|да-2|да-3,"лог,да-1"
12006,застегивать,v,стег,,стег => стег-1|стег-2,стег-1
12200,затюкать,v,тюк,,тюк => тюк-1|тюк-2,тюк-2
12247,захлебываться,v,хлеб,,хлеб => хлеб-1|хлеб-2,хлеб-2
12395,звездолетчик,s,"звезд,лет",звезд,лет => лет-1|лет-2,"звезд,лет-2"
12494,землекоп,s,"земл,коп",зем,коп => коп-1|коп-2|коп-3,"зем,коп-1"
12495,землемер,s,"земл,мер",зем,мер => мер-1|мер-2|мер-3,"зем,мер-1"
12497,землепашец,s,"земл,паш",зем,паш => паш-1|паш-2|паш-3,"зем,паш-2"
12571,злободневный,a,"зл,дн",зл,дн => дн-1|дн-2,"зл,дн-1"
12574,зловещий,a,"зл,вещ",зл,вещ => вещ-1|вещ-2|вещ-3,"зл,вещ-1"
12638,знаменосец,s,"знам,нос",зна(j),нос => нос-1|нос-2,"зна(j),нос-2"
12690,золотоносный,a,"золот,нос",золот,нос => нос-1|нос-2,"золот,нос-2"
13050,излет,s,лет,,лет => лет-1|лет-2,лет-2
13136,износостойкость,s,"нос,стой",сто(j),нос => нос-1|нос-2,"сто(j),нос-2"
13187,изотоп,s,топ,,топ => топ-1|топ-2|топ-3,топ-2
13188,изотопный,a,топ,,топ => топ-1|топ-2|топ-3,топ-2
13280,икроножный,a,"икр,нож",,икр => икр-1|икр-2; нож => нож-1|нож-2,"икр-2,нож-2"
13333,иммобилизация,s,"им,мобил",мобил,им => им-1|им-2,"мобил,им-1"
13334,иммобилизовать,v,"им,мобил",мобил,им => им-1|им-2,"мобил,им-1"
13368,имплантация,s,"им,плант",плант,им => им-1|им-2,"плант,им-1"
13374,импорт,s,"им,порт",,им => им-1|им-2; порт => порт-1|порт-2|порт-3,"им-1,порт-3"
13375,импортер,s,"им,порт",,им => им-1|им-2; порт => порт-1|порт-2|порт-3,"им-1,порт-3"
13376,импортировать,v,"им,порт",,им => им-1|им-2; порт => порт-1|порт-2|порт-3,"им-1,порт-3"
13377,импортный,a,"им,порт",,им => им-1|им-2; порт => порт-1|порт-2|порт-3,"им-1,порт-3"
13752,ионообменный,a,"ион,мен",ион,мен => мен-1|мен-2,"ион,мен-1"
13837,искрометный,a,"искр,мет",искр,мет => мет-1|мет-2,"искр,мет-1"
13855,искусствовед,s,"искусств,вед",кус-2,вед => вед-1|вед-2,"кус-2,вед-1"
13856,искусствоведение,s,"искусств,вед",кус-2,вед => вед-1|вед-2,"кус-2,вед-1"
13857,искусствоведческий,a,"искусств,вед",кус-2,вед => вед-1|вед-2,"кус-2,вед-1"
13995,истертый,a,тер,,тер => тер-1|тер-2,тер-1
14051,истощенный,a,тощ,,тощ => тощ-1|тощ-2,тощ-1
14201,каждодневный,a,"кажд,дн",кажд-2,дн => дн-1|дн-2,"кажд-2,дн-1"
14233,казнокрадство,s,"казн,крад",крад,казн => казн-1|казн-2,"крад,казн-2"
14263,каленый,a,кал,,кал => кал-1|кал-2|кал-3,кал-1
14269,калий,s,кал,,кал => кал-1|кал-2|кал-3,кал-3
14270,калийный,a,кал,,кал => кал-1|кал-2|кал-3,кал-3
14423,капиталовложение,s,"капитал,лож",капитал,лож => лож-1|лож-2,"капитал,лож-1"
14445,капремонт,s,"кап,ремонт",ремонт,кап => кап-1|кап-2|кап-3,"ремонт,кап-3"
14452,капстрана,s,"кап,стран",стран,кап => кап-1|кап-2|кап-3,"стран,кап-3"
14527,кареглазый,a,"кар,глаз",глаз,кар => кар-1|кар-2|кар-3,"глаз,кар-3"
14786,квартплата,s,"кварт,плат",кварт,плат => плат-1|плат-2,"кварт,плат-1"
14901,киновед,s,"кино,вед",кино,вед => вед-1|вед-2,"кино,вед-1"
14930,кинопутешествие,s,"кино,пут",кино,пут => пут-1|пут-2,"кино,пут-2"
14991,кисломолочный,a,"кис,молоч",,кис => кис-1|кис-2|кис-3; молоч => молоч-1|молоч-2,"кис-1,молоч-2"
14994,кисло-сладкий,a,"кис,сладк",слад,кис => кис-1|кис-2|кис-3,"слад,кис-1"
15133,клиновидный,a,"клин,вид",вид,клин => клин-1|клин-2,"вид,клин-1"
15135,клинописный,a,"клин,пис",пис,клин => клин-1|клин-2,"пис,клин-1"
15136,клинопись,s,"клин,пись",пис,клин => клин-1|клин-2,"пис,клин-1"
15309,кожзаменитель,s,"кож,мен",кож,мен => мен-1|мен-2,"кож,мен-1"
15341,кока-кола,s,"кок,кол",кок,кол => кол-1|кол-2|кол-3,"кок,кол-2"
15374,колдоговор,s,"кол,говор",говор,кол => кол-1|кол-2|кол-3,"говор,кол-3"
15483,колхоз,s,"кол,хоз",хоз,кол => кол-1|кол-2|кол-3,"хоз,кол-3"
15485,колхозница,s,"кол,хоз",хоз,кол => кол-1|кол-2|кол-3,"хоз,кол-3"
15486,колхозный,a,"кол,хоз",хоз,кол => кол-1|кол-2|кол-3,"хоз,кол-3"
15695,комроты,s,"ком,рот",ком,рот => рот-1|рот-2,"ком,рот-2"
15696,комсомол,s,"ком,мол",ком,мол => мол-1|мол-2|мол-3,"ком,мол-2"
15709,конармеец,s,"кон,арме",арм,кон => кон-1|кон-2,"арм,кон-2"
15710,конармия,s,"кон,арми",арм,кон => кон-1|кон-2,"арм,кон-2"
15735,конгениальный,a,"кон,гени",гени,кон => кон-1|кон-2,"гени,кон-1"
15739,конгрессмен,s,"конгресс,мен",конгресс,мен => мен-1|мен-2,"конгресс,мен-2"
15759,коневодство,s,"кон,вод",,кон => кон-1|кон-2; вод => вод-1|вод-2,"кон-2,вод-1"
15760,конек,s,кон,,кон => кон-1|кон-2,кон-2
15767,конический,a,кон,,кон => кон-1|кон-2,кон-1
15792,коновал,s,"кон,вал",вал,кон => кон-1|кон-2,"вал,кон-2"
15793,коновязь,s,"кон,вязь",вяз-2,кон => кон-1|кон-2,"вяз-2,кон-2"
15794,конокрад,s,"кон,крад",крад,кон => кон-1|кон-2,"крад,кон-2"
15917,контрмера,s,мер,,мер => мер-1|мер-2|мер-3,мер-1
15927,контрольно-измерительный,a,"контроль,мер",контроль,мер => мер-1|мер-2|мер-3,"контроль,мер-1"
15933,контрразведка,s,вед,,вед => вед-1|вед-2,вед-1
15995,концентрический,a,"кон,центр",центр,кон => кон-1|кон-2,"центр,кон-1"
16046,копа,s,коп,,коп => коп-1|коп-2|коп-3,коп-2
16060,копировать,v,коп,,коп => коп-1|коп-2|коп-3,коп-2
16141,корнеплод,s,"корн,плод",плод,корн => корн-1|корн-2,"плод,корн-1"
16177,коротковолновый,a,"коротк,волн",корот,волн => волн-1|волн-2,"корот,волн-1"
16288,кособокий,a,"кос,бок",бок,кос => кос-1|кос-2|кос-3|кос-4,"бок,кос-2"
