Number,Lemma,PoS,reason,tikhonov_roots_raw,deterministic_roots,kuznetsova_homonym_candidates,notes,roots
283,адгезия,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,адгез
284,аддитивный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,аддитив
285,адекватно,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,адекватн
286,адекватность,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,адекватн
290,аденома,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,аденома
291,адепт,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,адепт
292,административно,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,администр
293,административно-командный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,"администр,команд"
294,административно-правовой,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,"администр,прав"
295,административно-процессуальный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,"администр,процессу"
300,администраторша,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,администр
301,администрация,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,администр
315,адриатический,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,адриат
317,адсорбат,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,адсорбат
321,адъювант,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,адъювант
323,адюльтер,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,адюльтер
325,ажиотажный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,ажиот
326,ажур,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,ажур
331,азартно,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,азарт
334,азбучный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,азбуч
335,азер,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,азер
341,азимут,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,азимут
343,азорский,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,азор
346,аи,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,аи
350,айкидо,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,айкидо
352,академгородок,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,академ
359,акация,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,акац
361,аквалангист,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,акваланг
362,аквапарк,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,аквапарк
369,акклиматизация,s,lemma_level_conflict,"ак,климат",климат,,Root-level mapping escalated ак to lemma-level conflict,климат
370,акклиматизироваться,v,lemma_level_conflict,"ак,климат",климат,,Root-level mapping escalated ак to lemma-level conflict,климат
372,аккомпаниатор,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,аккомпаниатор
379,аккредитивный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,аккредит
385,аккумуляторный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,аккумул
387,аккурат,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,аккурат
388,аккурат,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,аккурат
390,аккуратненько,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,аккурат
391,аккуратно,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,аккурат
394,акмеизм,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,акме
396,аконит,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,аконит
398,акрил,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,акрил
399,акриловый,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,акрилов
404,акростих,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,акростих
406,акселератор,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,акселератор
408,аксель,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,аксель
409,аксельбант,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,аксельбант
411,аксиологический,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,аксиолог
412,аксиома,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,аксиома
413,аксиоматический,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,аксиомат
416,актант,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,акт
417,актантный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,акт
418,актер,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,акт
427,активизироваться,v,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,акт
432,активнейший,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,акт
433,активно,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,акт
438,актор,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,акт
441,актуализировать,v,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,акт
443,актуально,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,акт
445,актуальный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,акт
448,акустика,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,акуст
453,акушерство,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,акушер
457,акцентироваться,v,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,акцент
464,акционерный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,акц
465,акционирование,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,акц
466,акционировать,v,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,акц
467,акция,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,акц
469,алайский,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,ал
470,алан,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,алан
479,александрийский,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,александр
480,александринский,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,александр
482,александровский,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,александр
483,александро-невский,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,александр
484,алексеевский,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,алексеев
490,алиби,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,алиби
492,алия,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,ал
501,аллантоисный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,аллантоис
505,аллейка,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,аллей
506,аллерген,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,аллерг
507,аллергик,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,аллерг
508,аллергический,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,аллерг
510,аллея,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,аллея
512,аллилуйя,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,аллилуйя
513,аллитерация,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,аллитерац
514,аллюзия,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,аллюз
515,аллюр,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,аллюр
516,алма-атинский,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,"алма,атин"
519,алмазоносный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,алмазонос
521,алоэ,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,алоэ
531,алчно,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,алч
536,альбатрос,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,альбатрос
539,альбомный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,альбом
540,альбомчик,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,альбом
541,альбумин,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,альбумин
542,альвеола,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,альвеол
544,альдегид,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,альдегид
545,альков,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,альков
546,альма-матер,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,"альма,матер"
553,альт,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,альт
554,альтернатива,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,альтерн
555,альтернативный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,альтерн
556,альтернативщик,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,альтерн
561,альтруистический,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,альтру
562,альфа,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,альфа
563,альфа,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,альфа
564,альцгеймер,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,альцгеймер
567,алюминий,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,алюмин
572,амба,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,амба
573,амбал,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,амбал
576,амбивалентность,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,амбивалент
577,амбивалентный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,амбивалент
578,амбициозность,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,амбици
580,амбиция,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,амбици
582,амброзия,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,амброз
584,амбулаторно,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,амбулатор
588,американец,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,америк
591,американский,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,америк
592,аметист,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,амет
593,амиксин,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,амиксин
597,аминь,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,аминь
598,аммиак,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,аммиак
599,аммиачный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,аммиач
601,амнезия,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,амнез
602,амнистировать,v,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,амнист
604,амок,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,ам
605,аморализм,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,аморал
606,аморалка,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,аморал
607,аморальность,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,амораль
608,аморальный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,аморал
610,амортизационный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,амортизацион
621,амплифицировать,v,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,амплифиц
622,амплуа,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,амплуа
626,амрита,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,амрита
627,амстердамский,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,амстердам
629,амуниция,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,амуниц
632,амурский,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,амур
637,анаболический,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,анабол
638,анаграмма,s,lemma_level_conflict,"ана,грамм",ана,,Root-level mapping escalated грамм to lemma-level conflict,ана
639,анадырский,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,анадыр
644,анализироваться,v,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,анализ
646,аналитика,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,аналит
647,аналитически,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,аналит
649,аналог,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,аналог
650,аналогично,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,аналог
651,аналогичный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,аналог
654,аналой,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,анал
656,анальный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,анал
657,анамнез,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,анамнез
660,анархист,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,анарх
663,анатом,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,анатом
665,анатомичка,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,анатом
670,анаэробный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,анаэроб
671,ангажемент,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,ангажемент
672,ангажированность,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,ангажирован
675,ангар,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,ангар
676,ангарский,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,ангар
679,ангел-хранитель,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,ангел
684,англиканский,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,англ
686,англичанка,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,англ
688,англо-русский,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,"англ,рус"
689,англосакс,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,англ
691,англоязычный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,англ
692,ангольский,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,ангол
693,андеграунд,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,андеграунд
694,андерграунд,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,андерграунд
695,андерсеновский,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,андерсенов
696,андреевский,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,андреев
699,анекдотичный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,анекдот
704,анизотропия,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,анизотроп
705,анизотропный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,анизотроп
706,аниматор,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,аним
707,анимационный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,аним
708,анимация,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,аним
709,анин,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,анин
